,address.houseNumber,street,city,state,zip,address.zipPlus4,sold_month,building.fullBathroomCount,lot.lotDepthFeet,mls.lotSizeSquareFeet,mls.bedroomCount,mls.floorCount,mls.bathroomCount,building.buildingQualityCode,sale.priorSale.price,prev_sale_price,bedrooms_tagged,living_area_tagged,Bathroom_max_tagged,Bathroom_min_tagged,Bathroom_std_tagged,Bathroom_mean_tagged,Floor_max_tagged,Floor_min_tagged,Floor_std_tagged,Floor_mean_tagged,Walls_max_tagged,Walls_min_tagged,Walls_std_tagged,Walls_mean_tagged,Outview_tagged,Outview_std_tagged,Kitchen_level_tagged,Kitchen_level_std_tagged,general.propertyTypeDetail,sale.lastSale.saleDate,sale.priorSale.saleDate,building.yearBuilt,sale.lastSale.price,building.styleCode,building.roofCover,building.exteriorWalls,building.heatSource,building.constructionType,AC,Fireplace,SolarHeat,EvaporativeCooler,AttachedGarage,SpaorHotTub,Spa,Pool,Garage,hoa_type,hoa_amount
353,1050,1050 s bronson ave,los angeles,ca,90019,3214,august,3.0,,6848.0,4.0,1.0,3.0,4.0,992372.5585261118,,4.0,2054.0,5.0,4.0,1.0,4.0,5.0,2.0,1.0,3.0,5.0,3.0,1.0,4.0,2.0,1.0,4.0,0.0,Single Family,2021,2018,1947,1485453.6794727878,,,Stucco,Central,Wood,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,None,0.0
354,969,969 westchester pl,los angeles,ca,90019,2005,january,2.0,1350.0,8276.0,5.0,2.0,4.0,4.0,1189276.10667211,1050000.0,5.0,2048.0,5.0,4.0,0.0,4.0,5.0,3.0,1.0,4.0,5.0,2.0,1.0,3.0,3.0,1.0,4.0,0.0,Single Family,2022,2021,1922,1766451.2968757008,12.0,Roll Composition,Stucco,Floor/Wall,Wood,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOA,278.0
355,969,969 westchester pl,hancock park,ca,90019,2005,februay,2.0,1350.0,8276.0,5.0,2.0,4.0,4.0,1185813.7945823353,,4.0,2048.0,5.0,2.0,1.0,4.0,3.0,2.0,1.0,3.0,5.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,Single Family,2022,2021,1922,1756664.7455952577,12.0,Roll Composition,Stucco,Floor/Wall,Wood,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOA,278.0
356,1029,1029 keniston ave,los angeles,ca,90019,1708,september,3.0,,6847.0,4.0,0.0,3.0,1.0,1930487.0565675937,1457777.0,4.0,2068.0,5.0,4.0,0.0,5.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,5.0,3.0,1.0,5.0,0.0,Single Family,2021,2014,1923,2184703.0245573474,,,Stucco,Central,Wood,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOA,340.0
357,1029,1029 keniston ave,los angeles,ca,90019,1708,december,3.0,,6847.0,4.0,0.0,3.0,1.0,1930626.912357559,,4.0,2068.0,5.0,4.0,0.0,5.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,4.0,3.0,1.0,5.0,0.0,Single Family,2021,2014,1923,2156078.8108976698,,,Stucco,Central,Wood,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOA,340.0
358,1110,1110 s ridgeley dr,los angeles,ca,90019,2528,may,4.0,1280.0,6399.0,3.0,1.0,1.0,1.0,1602060.6331419928,761000.0,3.0,2105.0,4.0,2.0,1.0,3.0,3.0,2.0,1.0,3.0,5.0,2.0,1.0,4.0,3.0,1.0,5.0,1.0,Single Family,2017,2014,1925,2109756.925583922,12.0,Roll Composition,Stucco,Central,Wood,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUD,100.0
359,1110,1110 s ridgeley dr,los angeles,ca,90019,2528,may,4.0,1280.0,6399.0,3.0,1.0,1.0,1.0,1602060.6331419928,,4.0,2105.0,5.0,2.0,1.0,4.0,5.0,3.0,1.0,4.0,5.0,2.0,1.0,3.0,3.0,1.0,4.0,0.0,Single Family,2017,2014,1925,2109756.925583922,12.0,Roll Composition,Stucco,Central,Wood,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PUD,100.0
360,1438,1438 12th ave,los angeles,ca,90019,4316,october,3.0,1230.0,6761.0,3.0,2.0,2.0,4.0,1350311.111111111,1100000.0,3.0,1936.0,5.0,4.0,1.0,4.0,5.0,3.0,1.0,4.0,5.0,3.0,1.0,5.0,3.0,1.0,5.0,0.0,Single Family,2020,2017,1910,1382826.0638648567,,,Stucco,Central,Wood,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOA,100.0
361,1438,1438 12th ave,los angeles,ca,90019,4316,january,3.0,1230.0,6761.0,3.0,2.0,2.0,4.0,1378538.1258520137,775500.0,3.0,1936.0,5.0,4.0,1.0,4.0,3.0,3.0,0.0,3.0,5.0,3.0,1.0,5.0,3.0,1.0,5.0,0.0,Single Family,2020,2017,1910,1401023.0342749415,,,Stucco,Central,Wood,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOA,100.0
362,1438,1438 12th ave,los angeles,ca,90019,4316,may,3.0,1230.0,6761.0,3.0,2.0,2.0,4.0,1365136.834201361,,3.0,1936.0,5.0,2.0,1.0,4.0,5.0,2.0,1.0,3.0,5.0,2.0,1.0,3.0,3.0,1.0,4.0,0.0,Single Family,2020,2017,1910,1394013.340816696,,,Stucco,Central,Wood,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HOA,100.0
